game_id,player_id,player_name,height,weight_lb,age,nationality,team_id,team_name,team_short_name,team_abbreviation,season_name,matchday,home_score,away_score,is_home,opponent,opponent_id,general_position,shots_sp,shots_on_target_sp,goals_sp,xgoals_sp,xplace_sp,goals_minusgoals_sp,key_passes_sp,primary_assists_sp,xassists_sp,primary_assists_minusassists_sp,goals_plus_primary_assists_sp,xgoals_plusassists_sp,points_added_sp,xpoints_added_sp,shots_c,shots_on_target_c,goals_c,xgoals_c,xplace_c,goals_minusgoals_c,key_passes_c,primary_assists_c,xassists_c,primary_assists_minusassists_c,goals_plus_primary_assists_c,xgoals_plusassists_c,points_added_c,xpoints_added_c,shots_fk,shots_on_target_fk,goals_fk,xgoals_fk,xplace_fk,goals_minusgoals_fk,key_passes_fk,primary_assists_fk,xassists_fk,primary_assists_minusassists_fk,goals_plus_primary_assists_fk,xgoals_plusassists_fk,points_added_fk,xpoints_added_fk,shots_pen,shots_on_target_pen,goals_pen,xgoals_pen,xplace_pen,goals_minusgoals_pen,key_passes_pen,primary_assists_pen,xassists_pen,primary_assists_minusassists_pen,goals_plus_primary_assists_pen,xgoals_plusassists_pen,points_added_pen,xpoints_added_pen,shots_fb,shots_on_target_fb,goals_fb,xgoals_fb,xplace_fb,goals_minusgoals_fb,key_passes_fb,primary_assists_fb,xassists_fb,primary_assists_minusassists_fb,goals_plus_primary_assists_fb,xgoals_plusassists_fb,points_added_fb,xpoints_added_fb,shots_reg,shots_on_target_reg,goals_reg,xgoals_reg,xplace_reg,goals_minusgoals_reg,key_passes_reg,primary_assists_reg,xassists_reg,primary_assists_minusassists_reg,goals_plus_primary_assists_reg,xgoals_plusassists_reg,points_added_reg,xpoints_added_reg,attempted_passes_att,pass_completion_percentage_att,xpass_completion_percentage_att,passes_completed_over_pected_att,passes_completed_over_pected_p100_att,avg_distance_yds_att,avg_vertical_distance_yds_att,share_team_touches_att,attempted_passes_mid,pass_completion_percentage_mid,xpass_completion_percentage_mid,passes_completed_over_pected_mid,passes_completed_over_pected_p100_mid,avg_distance_yds_mid,avg_vertical_distance_yds_mid,share_team_touches_mid,attempted_passes_def,pass_completion_percentage_def,xpass_completion_percentage_def,passes_completed_over_pected_def,passes_completed_over_pected_p100_def,avg_distance_yds_def,avg_vertical_distance_yds_def,share_team_touches_def,date_time_utc,extra_time
eVq3ll9gQW,eVq3r30j5W,Susanna Friedrichs,64,NA,26,USA,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.7778,0.7194,0.5253,5.8368,10.8239,1.9167,0.1099,21,0.8571,0.852,0.1084,0.5163,20.8094,1.2486,0.1096,15,0.8667,0.8401,0.3978,2.6517,24.511,4.4773,0.0722,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,eVq3yKvVMW,Claire Constant,67,148,25,Haiti,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0751,-0.0751,0,0.0751,0,0,0,0,0,0,0,0,0,0,19,0.8421,0.8204,0.4128,2.1726,18.2794,5.1145,0.0868,39,0.9231,0.9337,-0.4162,-1.0671,16.7938,1.6159,0.1697,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,gjMN6ol0MK,Jillienne Aguilera,NA,NA,NA,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,3,0.3333,0.7105,-1.1315,-37.7168,34.6422,11.8067,0.0139,2,0.5,0.737,-0.4741,-23.7037,43.1599,6.095,0.008,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,9YqdwKxL5v,Sarah Troccoli,71,170,28,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1057,-0.1057,-0.1057,0,0,0,0,0,0.1057,0,0.0504,4,1,0.8777,0.4891,12.228,21.632,4.9737,0.0612,15,0.8667,0.844,0.3397,2.2645,20.0966,-3.6953,0.088,13,0.8462,0.8453,0.0113,0.0868,18.5645,2.3177,0.0602,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,2vQ1N2D0Mr,Ashlynn Serepca,65,150,25,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.5257,-0.0514,-2.5715,28.2868,2.415,0.0204,8,0.875,0.7141,1.2871,16.0892,14.2962,-0.3019,0.0602,5,0.6,0.6745,-0.3724,-7.4488,32.4635,14.49,0.0281,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,9Yqd666LMv,Charlie Estcourt,65,135,27,Wales,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0297,-0.0297,-0.0297,0,0,0,0,0,0.0297,0,0.0206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.75,0.6299,0.4802,12.0062,17.6843,3.68,0.0769,6,0.6667,0.7705,-0.6228,-10.3796,20.6903,1.6292,0.0411,4,0.75,0.8412,-0.3649,-9.122,24.083,12.7362,0.0144,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,a35rKdowqL,Abbey-Leigh Stringer,71,143,30,England,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3293,-0.3293,-32.9269,0,0,0.011,27,0.8889,0.8894,-0.014,-0.0519,24.3617,7.9265,0.1233,67,0.806,0.8568,-3.4078,-5.0862,24.5262,11.7712,0.2599,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,xW5pyJWGqg,Sydney Studer,71,152,24,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.75,0.7786,-0.2287,-2.8583,15.0673,4.7581,0.0918,19,0.6316,0.7894,-2.9977,-15.7772,19.9238,10.5982,0.088,31,0.7419,0.7949,-1.6425,-5.2982,23.1537,11.526,0.1446,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,raMyo8eeqd,Alexeis Kirnos,66,139,24,USA,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.8333,0.8424,-0.0543,-0.9051,13.3022,-6.6892,0.032,4,0.5,0.6225,-0.4898,-12.2457,34.2244,30.6475,0.0144,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,0Oq6Le27M6,Katrina Guillou,64,115,31,Philippines,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0751,-0.0751,-0.0751,0,0,0,0,0,0.0751,0,0.0544,7,1,0.8101,1.3296,18.9936,19.6296,5.4214,0.1319,10,0.5,0.569,-0.6896,-6.8957,26.5901,12.7305,0.0685,4,0.25,0.3814,-0.5257,-13.1414,25.8023,12.1037,0.0469,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,KPqjBnB8q6,Chloe Hylton,66,117,18,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0288,-0.0288,0,0.0288,0,0,2,1,0.7864,0.4272,21.3618,17.834,0.345,0.0306,5,0.4,0.7315,-1.6573,-33.1452,16.2946,-2.438,0.037,1,0,0.6896,-0.6896,-68.9599,0,0,0.004,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,eVq3y7KnMW,Annika Creel,NA,NA,28,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2493,0.7507,75.0736,9.0402,2.07,0.0102,16,0.75,0.8027,-0.8437,-5.2732,23.9636,11.0687,0.0741,39,0.9231,0.8857,1.4577,3.7377,25.0408,6.7496,0.1727,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,e7MzZb0OMr,Vicky Bruce,64,130,31,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,CB,1,1,1,0.5489,0.1925,0.4511,0,0,0,0,1,0.5489,0.4302,0.2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102,18,0.8889,0.8631,0.4637,2.5762,22.8554,2.7025,0.0972,51,0.9412,0.9301,0.5637,1.1053,22.38,4.0295,0.2329,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,N6MmooZRqE,Meagan McClelland,NA,NA,25,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.8333,0.8773,-1.3196,-4.3986,23.1397,14.4248,0.1325,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,NWMWVmYNQl,Morgan Aquino,68,130,24,Australia,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2644,-0.2644,-26.437,0,0,0.0046,30,0.8,0.8077,-0.2299,-0.7663,24.0916,15.41,0.1155,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,jYQJge1ZMG,Kathrynn González,65,137,25,Dominican Republic,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0288,-0.0288,-0.0288,0,0,0,0,0,0.0288,0,0.0114,5,0.8,0.8803,-0.4015,-8.0295,12.9135,-0.368,0.0918,15,0.7333,0.7972,-0.9577,-6.3849,14.0727,4.255,0.0787,2,0.5,0.8152,-0.6304,-31.5218,11.2033,-4.3125,0.012,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,raMyAGadMd,Mariah Lee,64,NA,29,USA,KXMeG8xq64,D.C. Power FC,D.C. Power,DC,2024-25,1,1,0,0,Carolina Ascent FC,eV5D7zaMKn,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.3333,0.4163,-0.4978,-8.2966,21.8553,1.9358,0.0989,13,0.6154,0.7437,-1.668,-12.8304,21.7605,4.4585,0.0731,0,0,0,0,0,0,0,0.0072,2024-08-17 23:00:00 UTC,FALSE
eVq3ll9gQW,N6MmozrZqE,Josie Studer,69,150,24,USA,eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,2024-25,1,1,0,1,D.C. Power FC,KXMeG8xq64,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.4286,0.7089,-1.9623,-28.0329,24.3044,9.545,0.037,3,0.6667,0.7194,-0.1582,-5.272,37.6949,16.4067,0.0241,2024-08-17 23:00:00 UTC,FALSE
